Accession,Description,Total_Bases,A_pct,T_pct,G_pct,C_pct,GC_pct,AT_pct
AANN01653394.1,AANN01653394.1 Erinaceus europaeus voucher Broad:S,894,27.74,27.18,22.82,22.26,45.08,54.92
AANN01654074.1,AANN01654074.1 Erinaceus europaeus voucher Broad:S,1568,29.97,29.66,20.15,20.22,40.37,59.63
AANN01654754.1,AANN01654754.1 Erinaceus europaeus voucher Broad:S,1765,27.82,33.77,17.05,21.36,38.41,61.59
AANN01655094.1,AANN01655094.1 Erinaceus europaeus voucher Broad:S,1102,34.12,29.13,16.33,20.42,36.75,63.25
AANN01655384.1,AANN01655384.1 Erinaceus europaeus voucher Broad:S,1434,19.60,17.50,26.36,36.54,62.90,37.10
AANN01655694.1,AANN01655694.1 Erinaceus europaeus voucher Broad:S,734,31.61,28.75,22.34,17.30,39.65,60.35
AANN01656004.1,AANN01656004.1 Erinaceus europaeus voucher Broad:S,1740,31.03,28.85,22.36,17.76,40.11,59.89
AANN01656384.1,AANN01656384.1 Erinaceus europaeus voucher Broad:S,1687,36.51,32.31,20.04,11.14,31.18,68.82
AANN01657064.1,AANN01657064.1 Erinaceus europaeus voucher Broad:S,2055,27.10,33.09,19.42,20.39,39.81,60.19
AANN01657854.1,AANN01657854.1 Erinaceus europaeus voucher Broad:S,1341,36.76,30.72,15.06,17.45,32.51,67.49
AANN01657874.1,AANN01657874.1 Erinaceus europaeus voucher Broad:S,1134,32.45,29.54,18.43,19.58,38.01,61.99
AANN01658564.1,AANN01658564.1 Erinaceus europaeus voucher Broad:S,1694,30.05,33.29,18.36,18.30,36.66,63.34
AANN01658584.1,AANN01658584.1 Erinaceus europaeus voucher Broad:S,2216,18.05,22.38,31.41,28.16,59.57,40.43
AANN01789499.1,AANN01789499.1 Erinaceus europaeus voucher Broad:S,1887,29.04,31.27,20.08,19.61,39.69,60.31
AANN01789519.1,AANN01789519.1 Erinaceus europaeus voucher Broad:S,1428,31.23,30.46,18.07,20.24,38.31,61.69
AANU01198988.1,AANU01198988.1 Macaca mulatta isolate 17573 109921,94082,31.45,31.00,19.26,18.30,37.55,62.45
AANU01199368.1,AANU01199368.1 Macaca mulatta isolate 17573 109921,701,30.24,24.11,24.96,20.68,45.65,54.35
AANU01199398.1,AANU01199398.1 Macaca mulatta isolate 17573 109921,3669,30.80,28.81,19.08,21.31,40.39,59.61
AANU01199428.1,AANU01199428.1 Macaca mulatta isolate 17573 109921,3352,27.95,29.59,17.72,24.73,42.45,57.55
DY251548.1,DY251548.1 PMAH-aaa11h01.b1 Lamprey_EST_Olfactory ,491,34.62,34.42,16.29,14.66,30.96,69.04
DY251528.1,DY251528.1 PMAH-aaa11f11.g1 Lamprey_EST_Olfactory ,669,25.56,30.19,25.11,19.13,44.25,55.75
DR256270.1,DR256270.1 5790415 CERES-AL45 Arabidopsis thaliana,483,25.05,31.06,16.77,27.12,43.89,56.11
DW990068.1,DW990068.1 EST42449 Larval Stage 1 Aedes aegypti c,566,23.50,25.97,28.98,21.55,50.53,49.47
DW990028.1,DW990028.1 EST42409 Larval Stage 1 Aedes aegypti c,573,32.81,21.64,24.08,21.47,45.55,54.45
DW989978.1,DW989978.1 EST42359 Larval Stage 1 Aedes aegypti c,472,33.26,22.88,20.34,23.52,43.86,56.14
DW989948.1,DW989948.1 EST42329 Larval Stage 1 Aedes aegypti c,514,24.51,19.46,30.35,25.68,56.03,43.97
DW989928.1,DW989928.1 EST42309 Larval Stage 1 Aedes aegypti c,189,30.16,24.34,24.34,21.16,45.50,54.50
DW989848.1,DW989848.1 EST42229 Larval Stage 1 Aedes aegypti c,263,24.33,30.42,22.05,23.19,45.25,54.75
DW989828.1,DW989828.1 EST42209 Larval Stage 1 Aedes aegypti c,590,31.19,27.97,17.29,23.56,40.85,59.15
DW989768.1,DW989768.1 EST42149 Salivary Gland 1 Aedes aegypti,659,42.34,21.55,15.93,20.18,36.12,63.88
DW989748.1,DW989748.1 EST42129 Salivary Gland 1 Aedes aegypti,677,34.42,30.43,19.94,15.21,35.16,64.84
DW989668.1,DW989668.1 EST42049 Salivary Gland 1 Aedes aegypti,285,27.37,20.00,25.61,27.02,52.63,47.37
DW989628.1,DW989628.1 EST42009 Salivary Gland 1 Aedes aegypti,708,38.98,19.49,21.75,19.77,41.53,58.47
DW989568.1,DW989568.1 EST41949 Larval Stage 1 Aedes aegypti c,630,37.14,15.56,27.94,19.37,47.30,52.70
DW989548.1,DW989548.1 EST41929 Larval Stage 1 Aedes aegypti c,323,35.91,29.10,20.74,14.24,34.98,65.02
DW989478.1,DW989478.1 EST41859 Salivary Gland 1 Aedes aegypti,338,31.07,29.29,23.67,15.98,39.64,60.36
DW989458.1,DW989458.1 EST41839 Salivary Gland 1 Aedes aegypti,408,40.93,20.59,17.89,20.59,38.48,61.52
DW989408.1,DW989408.1 EST41789 Larval Stage 1 Aedes aegypti c,559,27.19,20.75,22.36,29.70,52.06,47.94
DW989348.1,DW989348.1 EST41729 Larval Stage 1 Aedes aegypti c,568,22.54,22.89,30.11,24.47,54.58,45.42
DW989308.1,DW989308.1 EST41689 Larval Stage 1 Aedes aegypti c,453,20.53,24.28,30.68,24.50,55.19,44.81
DW989278.1,DW989278.1 EST41659 Larval Stage 1 Aedes aegypti c,293,38.57,27.65,19.11,14.68,33.79,66.21
DW989258.1,DW989258.1 EST41639 Larval Stage 1 Aedes aegypti c,298,27.85,30.87,24.16,17.11,41.28,58.72
DW989228.1,DW989228.1 EST41609 Larval Stage 1 Aedes aegypti c,560,34.64,24.46,25.18,15.71,40.89,59.11
DW989198.1,DW989198.1 EST41579 Larval Stage 1 Aedes aegypti c,580,29.14,25.34,26.03,19.48,45.52,54.48
DW989128.1,DW989128.1 EST41509 Larval Stage 1 Aedes aegypti c,340,22.06,25.59,25.59,26.76,52.35,47.65
DW989088.1,DW989088.1 EST41469 Larval Stage 1 Aedes aegypti c,594,36.36,20.54,20.71,22.39,43.10,56.90
DW989048.1,DW989048.1 EST41429 Larval Stage 1 Aedes aegypti c,491,26.68,15.48,27.70,30.14,57.84,42.16
DW988998.1,DW988998.1 EST41379 Larval Stage 1 Aedes aegypti c,295,33.56,26.78,20.34,19.32,39.66,60.34
DW988948.1,DW988948.1 EST41329 Salivary Gland 1 Aedes aegypti,248,37.10,16.13,22.58,24.19,46.77,53.23
DW988898.1,DW988898.1 EST41279 Salivary Gland 1 Aedes aegypti,403,29.03,28.04,23.08,19.85,42.93,57.07
DW988858.1,DW988858.1 EST41239 Salivary Gland 1 Aedes aegypti,231,32.47,26.84,21.65,19.05,40.69,59.31
DW988818.1,DW988818.1 EST41199 Larval Stage 1 Aedes aegypti c,366,28.42,26.23,27.32,18.03,45.36,54.64
DW988778.1,DW988778.1 EST41159 Larval Stage 1 Aedes aegypti c,567,25.57,23.46,28.57,22.40,50.97,49.03
DW988738.1,DW988738.1 EST41119 Larval Stage 1 Aedes aegypti c,473,24.31,16.91,29.81,28.96,58.77,41.23
DW988688.1,DW988688.1 EST41069 Larval Stage 1 Aedes aegypti c,106,22.64,28.30,24.53,24.53,49.06,50.94
DW988648.1,DW988648.1 EST41029 Larval Stage 1 Aedes aegypti c,300,40.00,20.00,22.00,18.00,40.00,60.00
DW988618.1,DW988618.1 EST40999 Larval Stage 1 Aedes aegypti c,491,27.49,27.09,24.64,20.77,45.42,54.58
DW988568.1,DW988568.1 EST40949 Larval Stage 1 Aedes aegypti c,513,31.19,19.30,25.15,24.37,49.51,50.49
DW988538.1,DW988538.1 EST40919 Larval Stage 1 Aedes aegypti c,535,24.11,23.93,31.40,20.56,51.96,48.04
DX237697.1,DX237697.1 OR_ABa0120H11.r OR_ABa Oryza ridleyi ge,559,16.46,26.48,28.80,28.26,57.07,42.93
DX036311.1,DX036311.1 KBrB034L08R KBrB Brassica rapa BamHI B,631,35.02,27.73,19.65,17.59,37.24,62.76
DX035981.1,DX035981.1 KBrB034E11R KBrB Brassica rapa BamHI B,559,26.12,25.94,18.43,29.52,47.94,52.06
DX035921.1,DX035921.1 KBrB034D05R KBrB Brassica rapa BamHI B,587,19.25,21.64,30.32,28.79,59.11,40.89
DX035861.1,DX035861.1 KBrB034B23R KBrB Brassica rapa BamHI B,541,29.94,31.79,17.74,20.52,38.26,61.74
DX035841.1,DX035841.1 KBrB034B13R KBrB Brassica rapa BamHI B,445,30.79,21.12,27.19,20.90,48.09,51.91
DX035641.1,DX035641.1 KBrB033N09F KBrB Brassica rapa BamHI B,630,32.54,24.76,26.19,16.51,42.70,57.30
DX022199.1,DX022199.1 KBrB016D04R KBrB Brassica rapa BamHI B,644,24.53,19.88,31.68,23.91,55.59,44.41
DX022185.1,DX022185.1 KBrB016C21R KBrB Brassica rapa BamHI B,604,33.28,28.64,22.52,15.56,38.08,61.92
DX022165.1,DX022165.1 KBrB016C11R KBrB Brassica rapa BamHI B,614,30.78,26.55,25.90,16.78,42.67,57.33
AAEU02001729.1,AAEU02001729.1 Drosophila yakuba strain Tai18E2 v2,30878,31.55,30.82,19.00,18.62,37.63,62.37
AAEU02001749.1,AAEU02001749.1 Drosophila yakuba strain Tai18E2 ch,59419,28.90,28.63,21.25,21.22,42.47,57.53
AAEU02001809.1,AAEU02001809.1 Drosophila yakuba strain Tai18E2 ch,1688,25.41,37.97,19.43,17.18,36.61,63.39
AAEU02001849.1,AAEU02001849.1 Drosophila yakuba strain Tai18E2 ch,63872,24.91,26.54,24.18,24.37,48.55,51.45
AAEU02001869.1,AAEU02001869.1 Drosophila yakuba strain Tai18E2 v2,78430,30.28,31.29,19.80,18.63,38.43,61.57
AAEU02001889.1,AAEU02001889.1 Drosophila yakuba strain Tai18E2 v2,7737,38.85,25.57,15.23,20.36,35.58,64.42
AAEU02001909.1,AAEU02001909.1 Drosophila yakuba strain Tai18E2 v2,37369,31.33,25.99,21.40,21.27,42.68,57.32
AAEU02001929.1,AAEU02001929.1 Drosophila yakuba strain Tai18E2 ch,61692,31.42,30.34,18.62,19.62,38.24,61.76
AAEU02001949.1,AAEU02001949.1 Drosophila yakuba strain Tai18E2 ch,7795,30.25,29.83,20.22,19.70,39.92,60.08
AAEU02001969.1,AAEU02001969.1 Drosophila yakuba strain Tai18E2 ch,9601,31.87,30.11,19.59,18.43,38.02,61.98
AAEU02001989.1,AAEU02001989.1 Drosophila yakuba strain Tai18E2 v2,1081,32.84,28.95,21.74,16.47,38.21,61.79
AAEU02002009.1,AAEU02002009.1 Drosophila yakuba strain Tai18E2 ch,1053,24.60,42.17,17.00,16.24,33.24,66.76
AAEU02002029.1,AAEU02002029.1 Drosophila yakuba strain Tai18E2 ch,1924,31.44,30.98,19.13,18.45,37.58,62.42
AAEU02002049.1,AAEU02002049.1 Drosophila yakuba strain Tai18E2 ch,13685,27.26,34.97,18.95,18.82,37.77,62.23
AAEU02002069.1,AAEU02002069.1 Drosophila yakuba strain Tai18E2 v2,13361,28.92,29.11,20.26,21.70,41.97,58.03
AAEU02002089.1,AAEU02002089.1 Drosophila yakuba strain Tai18E2 v2,1595,33.67,27.08,20.19,19.06,39.25,60.75
AAEU02002109.1,AAEU02002109.1 Drosophila yakuba strain Tai18E2 v2,3013,33.22,24.73,22.30,19.75,42.05,57.95
AAEU02002129.1,AAEU02002129.1 Drosophila yakuba strain Tai18E2 v2,5293,18.61,31.38,23.86,26.15,50.01,49.99
AAEU02002149.1,AAEU02002149.1 Drosophila yakuba strain Tai18E2 ch,1702,21.62,31.90,26.85,19.62,46.47,53.53
AAEU02002169.1,AAEU02002169.1 Drosophila yakuba strain Tai18E2 ch,1509,38.04,32.87,14.58,14.51,29.09,70.91
AAEU02002189.1,AAEU02002189.1 Drosophila yakuba strain Tai18E2 ch,25580,28.73,27.25,21.63,22.39,44.02,55.98
AAEU02002209.1,AAEU02002209.1 Drosophila yakuba strain Tai18E2 ch,11289,32.25,25.47,20.93,21.35,42.28,57.72
AAEU02002229.1,AAEU02002229.1 Drosophila yakuba strain Tai18E2 ch,447,62.42,36.69,0.89,0.00,0.89,99.11
AAEU02002249.1,AAEU02002249.1 Drosophila yakuba strain Tai18E2 ch,63266,27.97,27.19,22.51,22.34,44.84,55.16
AAEU02002269.1,AAEU02002269.1 Drosophila yakuba strain Tai18E2 ch,3634,29.11,29.91,20.91,20.06,40.97,59.03
AAEU02002289.1,AAEU02002289.1 Drosophila yakuba strain Tai18E2 ch,1248,31.41,27.00,21.31,20.27,41.59,58.41
AAEU02002309.1,AAEU02002309.1 Drosophila yakuba strain Tai18E2 ch,21889,30.98,30.55,19.31,19.16,38.47,61.53
AAEU02002329.1,AAEU02002329.1 Drosophila yakuba strain Tai18E2 ch,62630,32.85,32.80,16.84,17.52,34.35,65.65
AAEU02002349.1,AAEU02002349.1 Drosophila yakuba strain Tai18E2 ch,1245,30.28,26.75,20.72,22.25,42.97,57.03
AAEU02002369.1,AAEU02002369.1 Drosophila yakuba strain Tai18E2 ch,1690,30.71,29.88,19.88,19.53,39.41,60.59
AAEU02002389.1,AAEU02002389.1 Drosophila yakuba strain Tai18E2 ch,1215,35.56,37.45,9.88,17.12,27.00,73.00
AAEU02002409.1,AAEU02002409.1 Drosophila yakuba strain Tai18E2 v2,25237,29.60,28.26,21.46,20.68,42.15,57.85
AAEU02002429.1,AAEU02002429.1 Drosophila yakuba strain Tai18E2 ch,18344,27.86,26.77,22.74,22.63,45.37,54.63
AAEU02002449.1,AAEU02002449.1 Drosophila yakuba strain Tai18E2 ch,7815,27.11,24.68,22.85,25.35,48.20,51.80
AAEU02002469.1,AAEU02002469.1 Drosophila yakuba strain Tai18E2 ch,3958,32.79,29.59,18.17,19.45,37.62,62.38
AAEU02002489.1,AAEU02002489.1 Drosophila yakuba strain Tai18E2 ch,48200,27.35,29.84,21.25,21.55,42.81,57.19
